id,name,set_number,card_number,ink_color,rarity
1,Ariel - On Human Legs,1,1,Amber,Uncommon
2,Ariel - Spectacular Singer,1,2,Amber,Super Rare
3,Cinderella - Gentle and Kind,1,3,Amber,Uncommon
4,Goofy - Musketeer,1,4,Amber,Uncommon
5,Hades - King of Olympus,1,5,Amber,Rare
6,Hades - Lord of the Underworld,1,6,Amber,Rare
7,HeiHei - Boat Snack,1,7,Amber,Common
8,LeFou - Bumbler,1,8,Amber,Uncommon
9,Lilo - Making a Wish,1,9,Amber,Rare
10,Maximus - Palace Horse,1,10,Amber,Super Rare
11,Maximus - Relentless Pursuer,1,11,Amber,Uncommon
12,Mickey Mouse - True Friend,1,12,Amber,Uncommon
13,Minnie Mouse - Beloved Princess,1,13,Amber,Common
14,Moana - Of Motunui,1,14,Amber,Rare
15,Mr. Smee - Loyal First Mate,1,15,Amber,Common
16,Prince Phillip - Dragonslayer,1,16,Amber,Uncommon
17,Pumbaa - Friendly Warthog,1,17,Amber,Common
18,Rapunzel - Gifted with Healing,1,18,Amber,Legendary
19,Sebastian - Court Composer,1,19,Amber,Common
20,Simba - Protective Cub,1,20,Amber,Common
21,Stitch - Carefree Surfer,1,21,Amber,Legendary
22,Stitch - New Dog,1,22,Amber,Common
23,Stitch - Rock Star,1,23,Amber,Super Rare
24,Timon - Grub Rustler,1,24,Amber,Common
25,Be Our Guest,1,25,Amber,Uncommon
26,Control Your Temper!,1,26,Amber,Common
27,Hakuna Matata,1,27,Amber,Common
28,Healing Glow,1,28,Amber,Common
29,Just in Time,1,29,Amber,Rare
30,Part of Your World,1,30,Amber,Rare
31,You Have Forgotten Me,1,31,Amber,Uncommon
32,Dinglehopper,1,32,Amber,Common
33,Lantern,1,33,Amber,Rare
34,Ursula's Shell Necklace,1,34,Amber,Rare
35,Anna - Heir to Arendelle,1,35,Amethyst,Uncommon
36,Archimedes - Highly Educated Owl,1,36,Amethyst,Common
37,Dr. Facilier - Agent Provocateur,1,37,Amethyst,Rare
38,Dr. Facilier - Charlatan,1,38,Amethyst,Common
39,Dr. Facilier - Remarkable Gentleman,1,39,Amethyst,Rare
40,Elsa - Queen Regent,1,40,Amethyst,Common
41,Elsa - Snow Queen,1,41,Amethyst,Uncommon
42,Elsa - Spirit of Winter,1,42,Amethyst,Legendary
43,Flotsam - Ursula's Spy,1,43,Amethyst,Rare
44,Jafar - Keeper of Secrets,1,44,Amethyst,Rare
45,Jafar - Wicked Sorcerer,1,45,Amethyst,Common
46,Jetsam - Ursula's Spy,1,46,Amethyst,Common
47,Magic Broom - Bucket Brigade,1,47,Amethyst,Common
48,Maleficent - Biding Her Time,1,48,Amethyst,Rare
49,Maleficent - Sorceress,1,49,Amethyst,Common
50,Marshmallow - Persistent Guardian,1,50,Amethyst,Super Rare
51,Mickey Mouse - Wayward Sorcerer,1,51,Amethyst,Super Rare
52,Olaf - Friendly Snowman,1,52,Amethyst,Uncommon
53,Pascal - Rapunzel's Companion,1,53,Amethyst,Uncommon
54,Rafiki - Mysterious Sage,1,54,Amethyst,Uncommon
55,Sven - Official Ice Deliverer,1,55,Amethyst,Uncommon
56,The Queen - Wicked and Vain,1,56,Amethyst,Super Rare
57,The Wardrobe - Belle's Confidant,1,57,Amethyst,Common
58,Tinker Bell - Peter Pan's Ally,1,58,Amethyst,Common
59,Ursula - Power Hungry,1,59,Amethyst,Legendary
60,Yzma - Alchemist,1,60,Amethyst,Common
61,Zeus - God of Lightning,1,61,Amethyst,Rare
62,Befuddle,1,62,Amethyst,Uncommon
63,Freeze,1,63,Amethyst,Common
64,Friends on the Other Side,1,64,Amethyst,Common
65,Reflection,1,65,Amethyst,Uncommon
66,Magic Mirror,1,66,Amethyst,Rare
67,Ursula's Cauldron,1,67,Amethyst,Uncommon
68,White Rabbit's Pocket Watch,1,68,Amethyst,Rare
69,Aladdin - Prince Ali,1,69,Emerald,Common
70,Beast - Wolfsbane,1,70,Emerald,Legendary
71,Cheshire Cat - Not All There,1,71,Emerald,Uncommon
72,Cruella De Vil - Miserable as Usual,1,72,Emerald,Rare
73,Duke of Weselton - Opportunistic Official,1,73,Emerald,Common
74,Flynn Rider - Charming Rogue,1,74,Emerald,Uncommon
75,Genie - On the Job,1,75,Emerald,Super Rare
76,Genie - Powers Unleashed,1,76,Emerald,Rare
77,Genie - The Ever Impressive,1,77,Emerald,Common
78,Hans - Scheming Prince,1,78,Emerald,Rare
79,Horace - No-Good Scoundrel,1,79,Emerald,Common
80,Iago - Loud-Mouthed Parrot,1,80,Emerald,Rare
81,Jasper - Common Crook,1,81,Emerald,Uncommon
82,John Silver - Alien Pirate,1,82,Emerald,Legendary
83,Jumba Jookiba - Renegade Scientist,1,83,Emerald,Uncommon
84,Kuzco - Temperamental Emperor,1,84,Emerald,Rare
85,Lady Tremaine - Wicked Stepmother,1,85,Emerald,Rare
86,Mad Hatter - Gracious Host,1,86,Emerald,Uncommon
